33 minutes ago, cpt-dc1-scanprox01.cwh.takealot.com, ubuntu 20.04.
32 minutes ago, cpt-hq-grafana02.hq.takealot.com, ubuntu 20.04.
30 minutes ago, hq-mysql-57-services-14.hq.takealot.com, ubuntu 20.04.
30 minutes ago, cpt-hq-es02.hq.takealot.com, ubuntu 20.04.
28 minutes ago, graphite-import.hq.takealot.com, ubuntu 20.04.
27 minutes ago, jhb-dc-ntp01.jwh.takealot.com, ubuntu 20.04.
25 minutes ago, cpt-hq-logstash01.hq.takealot.com, ubuntu 20.04.
25 minutes ago, cpt-hq-mattermost01.hq.takealot.com, ubuntu 20.04.
23 minutes ago, cpt-hq-syslog01.hq.takealot.com, ubuntu 20.04.
23 minutes ago, jhb-dc-dhcp01.jwh.takealot.com, ubuntu 20.04.
22 minutes ago, jhb-dc-db02.jwh.takealot.com, ubuntu 20.04.
20 minutes ago, cpt-dc-cmk02.cwh.takealot.com, ubuntu 20.04.
19 minutes ago, cpt-hq-packetbeat01.hq.takealot.com, ubuntu 20.04.
17 minutes ago, jira-stage.stagealot.com, ubuntu 16.04.
15 minutes ago, cpt-hq-dhcp02.hq.takealot.com, ubuntu 16.04.
12 minutes ago, jhb-dc-logstash01.jwh.takealot.com, ubuntu 20.04.
9 minutes ago, cpt-dc-db02.cwh.takealot.com, ubuntu 20.04.
8 minutes ago, cpt-hq-cms01.hq.takealot.com, ubuntu 20.04.
8 minutes ago, sage-proxy.hq.takealot.com, ubuntu 16.04.
7 minutes ago, cpt-hq-db03.hq.takealot.com, ubuntu 20.04.
5 minutes ago, cpt-hq-mrdproc01.hq.takealot.com, ubuntu 20.04.
4 minutes ago, cpt-hq-kibana03.hq.takealot.com, ubuntu 20.04.
4 minutes ago, cpt-hq-smtp04.hq.takealot.com, ubuntu 20.04.
